bus_id;bus_name;grid_type;country;vm_pu;va_degree;max_p_mw;min_p_mw
202747445_380;Umspannwerk Gießen Nord;main_slack;Germany;1.0;0;999999;-999999
br_128478125_91655781_2_380;br_128478125_91655781_2;border;Luxembourg;1.0;;400;-400
151967290_380;Station Niederstedem;border;Luxembourg;1.0;;400;-400
177829920_380;Diele;border;Netherlands;1.0;;1650;-1650
206289192_380;Meppen;border;Netherlands;1.0;;1650;-1650
952346321_380;Station Gronau;border;Netherlands;1.0;;900;-900
26593929_380;Station Oberzier;border;Netherlands;1.0;;1700;-1700
870598507_380;ALEGrO-Konverterstation Oberzier;border;Belgium;1.0;;1000;-1000
82773910_380;Umspannanlage Ensdorf;border;France;1.0;;1700;-1700
242756113_380;380-kV-Umspannwerk Eichstetten;border;France;1.0;;2500;-2000
88916034_380;Netzknoten Kühmoos;border;France;1.0;;1650;-1650
88916034_380;Netzknoten Kühmoos;border;Switzerland;1.0;;450;-450
31367940_380;Umspannwerk Tiengen;border;Switzerland;1.0;;1500;-1500
br_104906904_240537365_240537366_380;br_104906904_240537365_240537366;border;Switzerland;1.0;;800;-800
br_104906930_27854188_50319847_380;br_104906930_27854188_50319847;border;Switzerland;1.0;;800;-800
24976300_380;Künzing;border;Austria;1.0;;1600;-1600
57727004_380;Umspannanlage Leupolz;border;Austria;1.0;;1600;-1600
31131320_380;Obermooweiler;border;Austria;1.0;;1600;-1600
23117075_380;Umspannwerk Röhrsdorf;border;Czechia;1.0;;1700;-1700
29084374_380;Umspannwerk Etzenricht;border;Czechia;1.0;;1400;-1400
170123812_380;Umspannwerk Vierraden;border;Poland;1.0;;1700;-1700
59026005_380;Umspannwerk Hagenwerder;border;Poland;1.0;;1700;-1700
275466323_380;HVDC Herrenwyk (Baltic Cable);border;Sweden;1.0;;600;-600
br_186397898_882960317_882960318_882960319_882960320_380;br_186397898_882960317_882960318_882960319_882960320;border;Norway;1.0;;1400;-1400
301158539_380;Jardelund;border;Denmark;1.0;;1500;-1500
br_1151967274_380;br_1151967274;border;Denmark;1.0;;1500;-1500
32063539_380;Bentwisch HGÜ;border;Denmark;1.0;;600;-600
br_907517160_907517163_2_380;br_907517160_907517163_2;border;HVDC-Denmark;1.0;;600;-600

